RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Light Therapy_NoM,1.0281799897115644,0.22092327091798414,0.7838553047204075,0,0.13787777382008135,0,0.1788727605042373,2,1.0,95,0.08333333333333333,0.16023876680146915,0.06068450411651499,0.9583333333333334,0.21768434948535234
RMD_Anorexia Nervosa_NoM,PT_Lithium Therapy_NoM,1.0002718618515014,0.12607624677515328,0.0,0,0.11262407958260934,0,0.22357924515113275,6,0.6666666666666666,31,0.0625,0.13362838222305828,0.0,0.96875,0.12216956828149966
RMD_Anorexia Nervosa_NoM,PT_Machine Learning Neuroimaging_NoM,1.0101117028249837,0.25962274651077927,0.8593272910966424,0,0.2233215452212433,2,0.162656271225679,3,1.0,96,0.25,0.13642344331643186,0.12319930319434741,0.875,0.22946697774883956
RMD_Anorexia Nervosa_NoM,PT_Meditation And Relaxation Techniques_NoM,1.0276675954231733,0.0,0.0,0,0.0,0,0.0,0,0.3333333333333333,96,0.020833333333333332,0.10120569260219212,0.0,0.9895833333333334,0.0
RMD_Anorexia Nervosa_NoM,PT_Memory Retrieval Techniques_NoM,1.003889218380131,0.14626513812288494,0.0,0,0.254367731232777,0,0.1356726370949162,4,0.6666666666666666,96,0.10416666666666667,0.11729359864886305,0.028971539474021896,0.9479166666666666,0.13918639127048418
RMD_Anorexia Nervosa_NoM,PT_Mentalization Based Treatment_NoM,1.0195875348221006,0.2987361702303377,0.7893463949880293,0,0.4296448703300338,0,0.191574606953527,6,0.6666666666666666,96,0.16666666666666666,0.16103668287654013,0.13769948735379758,0.9166666666666666,0.2792053690867333
RMD_Anorexia Nervosa_NoM,PT_Metabolic And Enzyme Targeted Therapy_NoM,1.0072094880463596,0.1570197070520818,0.6398289712718912,0,0.2009859543579156,6,0.07554904860943781,5,0.6666666666666666,96,0.041666666666666664,0.1535322954357388,0.0034874116163430002,0.9791666666666666,0.15485691086242673
RMD_Anorexia Nervosa_NoM,PT_Metaverse_NoM,1.1,0.0308904266438381,0.4633563996575715,0,0.0,0,0.0,0,0.3333333333333333,60,0.16666666666666666,0.1384260372065899,0.0,0.9166666666666666,0.031147846865870084
RMD_Anorexia Nervosa_NoM,PT_Mindfulness Based Stress Reduction_NoM,1.068095850215083,0.07385818804914548,0.4730390612855012,1,0.0,0,0.14107416876704024,1,0.3333333333333333,96,0.14583333333333334,0.1442701035839653,0.0,0.9270833333333334,0.0731354015647196
RMD_Anorexia Nervosa_NoM,PT_Mood Stabilizers_NoM,1.0722450155465961,0.053603018768141504,0.5557852018958235,1,0.0,0,0.05516890658362202,2,0.3333333333333333,96,0.16666666666666666,0.12202159527737663,0.0,0.9166666666666666,0.05268593888469117
RMD_Anorexia Nervosa_NoM,PT_Motivational Interviewing_NoM,1.0603174491120833,0.3165114850646955,0.7489331235834442,3,0.4550781106780262,0,0.2225229331426187,5,0.6666666666666666,96,0.22916666666666666,0.19404688782434,0.12246459724035552,0.8854166666666666,0.29714818009344157
RMD_Anorexia Nervosa_NoM,PT_Music Therapy_NoM,1.030210693927129,0.28272324016558825,0.7464158824869916,0,0.2665621889622958,0,0.19584148196412435,6,1.0,96,0.14583333333333334,0.17404653275632975,0.1086767074092585,0.9270833333333334,0.2700264685852939
RMD_Anorexia Nervosa_NoM,PT_Naltrexone_NoM,1.0265460061765364,0.4729538048909716,0.8374097087056808,0,0.5403032408155,0,0.3246141681187302,5,1.0,96,0.22916666666666666,0.22526193664044192,0.2476918682505297,0.8854166666666666,0.4298776183221876
RMD_Anorexia Nervosa_NoM,PT_Narrative Exposure Therapy_NoM,1.0440477046850298,0.1457636746308453,0.7060632969575505,0,0.054129546218218666,6,0.17767063125124644,3,0.6666666666666666,96,0.14583333333333334,0.1874577900863984,0.0,0.9270833333333334,0.14108746315944032
