Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness
66,RMD_Body Integrity Dysphoria,PT_Focused Ultrasound Therapy,0.4147590159698784,0.4147590159698784,0.4287595390624885,36,0.5670019260395676,0.15224291006968915
67,RMD_Landau Kleffner Syndrome,PT_Anticonvulsant Therapy,0.41322553752856855,0.41322553752856855,0.4532843045708178,36,0.5590709259771585,0.14584538844858985
68,RMD_Postpartum Psychosis,PT_Antipsychotic Medications,0.4130513804006715,0.4130513804006715,0.4457757828862202,36,0.7183669958120321,0.30531561541136054
69,RMD_Diogenes Syndrome,PT_Stem Cell Therapy For Neurological Disorders,0.4122623268123856,0.4122623268123856,0.4314077201285581,36,0.5729243881347388,0.16066206132235314
70,RMD_Kleine Levin Syndrome,PT_Neurobiological Assessments For Mental Disorders,0.41033970361358085,0.41033970361358085,0.4496205128102316,36,0.4845192931251607,0.07417958951157982
71,RMD_Histrionic Personality Disorder,PT_Lithium Therapy,0.4089983402725363,0.4089983402725363,0.4397189932985711,36,0.43854169611884586,0.029543355846309533
72,RMD_Kleine Levin Syndrome,PT_Dietary Interventions And Supplements,0.40389294567504913,0.40389294567504913,0.4088982616503847,36,0.4845192931251607,0.08062634745011153
73,RMD_Kleptomania,PT_Acceptance And Commitment Therapy,0.4012756251893177,0.4012756251893177,0.4255762789157421,36,0.7412501146256589,0.3399744894363412
74,RMD_Hallucinogen Persisting Perception Disorder,PT_Narrative Exposure Therapy,0.40000722598480265,0.40000722598480265,0.423620295687574,36,0.6878894775854928,0.2878822516006901
75,RMD_Impulse Control Disorders,PT_Neurobiological Assessments For Mental Disorders,0.3997864613867416,0.3997864613867416,0.4129831078135558,36,0.4739660508983215,0.07417958951157982
76,RMD_Kleptomania,PT_Light Therapy,0.39965901511183066,0.39965901511183066,0.4221138172923886,36,0.7412501146256589,0.3415910995138282
77,RMD_Antisocial Personality Disorder,PT_Narrative Exposure Therapy,0.3991374376972446,0.3991374376972446,0.401616902583055,36,0.6870196892979348,0.2878822516006901
78,RMD_Landau Kleffner Syndrome,PT_Privacy Preserving Ai In Digital Mental Health,0.3987712928380344,0.3987712928380344,0.4120394699164389,36,0.5590709259771585,0.160299633139124
79,RMD_Narcissistic Personality Disorder,PT_Neuromodulation Techniques,0.3976796712259341,0.3976796712259341,0.4035707189732519,36,0.6620654771117923,0.2643858058858581
