node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual,recal_horizon,recal_category,recal_group,recal_scale
RMD_Stendhal,RMD,1,13,262,29.01603507995605,1.7330818176269531,27.282953262329098,30.749116897583004,52.889625549316406,1,RMD,H1|RMD,12.0
RMD_Walking Corpse,RMD,1,13,262,5.155508041381836,1.6266717910766593,3.5288362503051767,6.782179832458495,10.807450294494627,1,RMD,H1|RMD,12.0
RMD_koro,RMD,1,13,262,14.137444496154783,1.7242698669433585,12.413174629211426,15.861714363098141,16.671707153320312,1,RMD,H1|RMD,12.0
Global_Disaster_Total,Other,1,14,263,32.799591064453125,1.3077392578125,31.491851806640625,34.107330322265625,30.838119506835938,1,Other,H1|Other,12.0
Global_Holidays_Average,Other,1,14,263,1.210119128227234,0.0644237995147704,1.1456953287124638,1.2745429277420044,1.1537561416625977,1,Other,H1|Other,12.0
Global_Holidays_Total,Other,1,14,263,43.47969436645508,2.2130126953125,41.26668167114258,45.69270706176758,41.563926696777344,1,Other,H1|Other,12.0
PT_Animal-Assisted Interventions,PT,1,14,263,4.217462539672852,0.8724603652954092,3.3450021743774423,5.089922904968261,37.34572982788086,1,PT,H1|PT,12.0
PT_Antidepressants,PT,1,14,263,81.37335968017578,5.1624298095703125,76.21092987060547,86.5357894897461,257.9870300292969,1,PT,H1|PT,12.0
PT_Antipsychotic Medications,PT,1,14,263,51.46988677978516,2.225189208984374,49.24469757080079,53.69507598876954,89.76394653320312,1,PT,H1|PT,12.0
PT_Behavioral Activation Therapy,PT,1,14,263,4.372664928436279,0.2940902709960936,4.0785746574401855,4.666755199432373,76.69903564453125,1,PT,H1|PT,12.0
PT_Benzodiazepines,PT,1,14,263,39.82720565795898,2.3148422241210938,37.51236343383788,42.14204788208007,113.61334991455078,1,PT,H1|PT,12.0
PT_Biofeedback Devices,PT,1,14,263,0.7160338163375854,0.0983473062515256,0.6176865100860598,0.8143811225891111,1.2439296245574951,1,PT,H1|PT,12.0
PT_Brain Stimulation Technologies,PT,1,14,263,0.5699499845504761,0.439324021339416,0.13062596321106007,1.0092740058898921,0.8592914938926697,1,PT,H1|PT,12.0
PT_Brain-Computer Interface,PT,1,14,263,19.34470558166504,0.5762672424316404,18.7684383392334,19.92097282409668,52.29680252075195,1,PT,H1|PT,12.0
PT_Cognitive Behavioral Therapy,PT,1,14,263,60.90814971923828,7.4590301513671875,53.449119567871094,68.36717987060547,29.93546867370605,1,PT,H1|PT,12.0
PT_Cognitive Enhancement Programs,PT,1,14,263,0.0366942174732685,0.037478595972060005,-0.0007843784987915034,0.0741728134453285,0.125476136803627,1,PT,H1|PT,12.0
PT_Cognitive Technologies,PT,1,14,263,10.874167442321776,2.810588836669921,8.063578605651855,13.684756278991696,50.72663879394531,1,PT,H1|PT,12.0
PT_Creative Arts Therapies,PT,1,14,263,4.804592132568359,0.3952674865722648,4.409324645996095,5.199859619140624,19.769041061401367,1,PT,H1|PT,12.0
PT_Dietary Interventions & Supplements,PT,1,14,263,0.1451363563537597,0.0426647365093224,0.10247161984443731,0.1878010928630821,0.6112982034683228,1,PT,H1|PT,12.0
PT_Digital Health Tools,PT,1,14,263,6.579222679138184,0.8985357284545896,5.680686950683594,7.477758407592773,168.3945770263672,1,PT,H1|PT,12.0
PT_Digital Imaging Technologies for Brain Scanning,PT,1,14,263,0.3220767676830292,0.042729556560516,0.27934721112251315,0.3648063242435452,0.4542416930198669,1,PT,H1|PT,12.0
PT_Electroencephalography,PT,1,14,263,47.69326400756836,10.064002990722656,37.6292610168457,57.757266998291016,48.454200744628906,1,PT,H1|PT,12.0
PT_Exposure Therapy,PT,1,14,263,4.458287239074707,0.6615571975708008,3.7967300415039062,5.119844436645508,25.15377426147461,1,PT,H1|PT,12.0
PT_Expressive Writing & Journaling,PT,1,14,263,0.8107658624649048,0.0920709371566764,0.7186949253082284,0.9028367996215811,2.094515562057495,1,PT,H1|PT,12.0
PT_Eye Movement Desensitization and Reprocessing,PT,1,14,263,8.333324432373047,1.3231201171875,7.010204315185547,9.656444549560547,11.104742050170898,1,PT,H1|PT,12.0
PT_Genetic Testing,PT,1,14,263,3.713605165481568,0.2976350784301752,3.4159700870513925,4.011240243911743,9.046391487121582,1,PT,H1|PT,12.0
PT_Interpersonal Psychotherapy,PT,1,14,263,14.680188179016112,1.4451370239257808,13.23505115509033,16.12532520294189,9.257818222045898,1,PT,H1|PT,12.0
PT_Meditation and Relaxation Techniques,PT,1,14,263,1.9176231622695925,0.16186451911926242,1.75575864315033,2.079487681388855,5.101597309112549,1,PT,H1|PT,12.0
PT_Metaverse,PT,1,14,263,10.035210609436035,1.872013092041015,8.16319751739502,11.90722370147705,155.04690551757812,1,PT,H1|PT,12.0
PT_Mindfulness-Based Stress Reduction,PT,1,14,263,29.542556762695312,4.621147155761718,24.921409606933594,34.16370391845703,32.55368423461914,1,PT,H1|PT,12.0
PT_Mood Stabilizers,PT,1,14,263,24.99930953979492,2.6885604858398438,22.310749053955075,27.687870025634762,121.1802749633789,1,PT,H1|PT,12.0
PT_Neurocognitive Training,PT,1,14,263,1.6559675931930542,0.6592319011688231,0.9967356920242311,2.3151994943618774,2.977792263031006,1,PT,H1|PT,12.0
PT_Neurofeedback Systems,PT,1,14,263,0.3146094679832458,0.045613646507262004,0.2689958214759838,0.3602231144905078,0.59042888879776,1,PT,H1|PT,12.0
PT_Neuromodulation Techniques,PT,1,14,263,3.6887052059173584,0.2984247207641592,3.390280485153199,3.9871299266815177,9.493504524230955,1,PT,H1|PT,12.0
PT_Neuroprotective Agents,PT,1,14,263,9.314878463745115,0.6656970977783195,8.649181365966795,9.980575561523436,6.214384078979492,1,PT,H1|PT,12.0
PT_Peer Support Programs & Online Communities,PT,1,14,263,-0.0897469744086265,0.6547308862209311,-0.7444778606295577,0.5649839118123046,0.0010472659487277,1,PT,H1|PT,12.0
PT_Personalized Medicine,PT,1,14,263,92.28864288330078,42.76551818847656,49.52312469482422,135.05416107177734,116.9394302368164,1,PT,H1|PT,12.0
PT_Privacy-Preserving AI in Digital Mental Health,PT,1,14,263,0.15886852145195,0.0051241815090168,0.15374433994293318,0.1639927029609668,3.662070035934448,1,PT,H1|PT,12.0
PT_Psychoeducation Programs,PT,1,14,263,0.8965098857879639,0.07053780555725041,0.8259720802307134,0.9670476913452143,1.5367027521133425,1,PT,H1|PT,12.0
PT_Psychophysiological Metrics for Treatment Response,PT,1,14,263,2.2796459197998047,0.36009836196899403,1.9195475578308105,2.639744281768799,5.79804801940918,1,PT,H1|PT,12.0
PT_Regenerative Medicine Approaches,PT,1,14,263,2.4204556941986084,0.5646486282348624,1.855807065963746,2.985104322433471,2.4041178226470947,1,PT,H1|PT,12.0
PT_Resting-state Functional Magnetic Resonance Imaging,PT,1,14,263,10.759345054626465,5.251825332641602,5.507519721984863,16.011170387268066,15.05562686920166,1,PT,H1|PT,12.0
