Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness,spillover_value_norm,cisn_adjusted_score
113,RMD_Childhood Disintegrative Disorder,PT_Traditional And Alternative Medicine Approaches,0.3486806958524799,0.3486806958524799,0.36265186998117,36,0.5684444767393493,0.2197637808868692,0.0,0.3486806958524799
114,RMD_Reduplicative Paramnesia,PT_Dietary Interventions And Supplements,0.3481037284555792,0.3481037284555792,0.3707596342889682,36,0.4287300759056908,0.0806263474501115,0.0,0.3481037284555792
115,RMD_Hallucinogen Persisting Perception Disorder,PT_Acceptance And Commitment Therapy,0.3479149881491515,0.3479149881491515,0.3963908674068555,36,0.6878894775854928,0.3399744894363412,0.0,0.3479149881491515
116,RMD_Palilalia,PT_Neuroplasticity Techniques,0.3475225544383493,0.3475225544383493,0.3569549925178187,36,0.3795989302312224,0.032076375792873,0.0,0.3475225544383493
117,RMD_Koro,PT_Prolonged Exposure Therapy,0.3465310911043183,0.3465310911043183,0.3675559638443939,36,0.3645924597105761,0.0180613686062577,0.0,0.3465310911043183
118,RMD_Antisocial Personality Disorder,PT_Light Therapy,0.3454285897841064,0.3454285897841064,0.3943128960301887,36,0.6870196892979348,0.3415910995138282,0.0,0.3454285897841064
119,RMD_Factitious Disorder,PT_Acceptance And Commitment Therapy,0.3410158271632395,0.3410158271632395,0.3556246045423052,36,0.6809903165995808,0.3399744894363412,0.0,0.3410158271632395
120,RMD_Reactive Attachment Disorder,PT_Motivational Interviewing,0.3407189279226594,0.3407189279226594,0.3460041645351003,36,0.7190351047741068,0.3783161768514473,0.0,0.3407189279226594
121,RMD_Ganser Syndrome,PT_Social Skills Training,0.340595000860142,0.340595000860142,0.420722871939318,36,0.6922316029290343,0.3516366020688921,0.0,0.340595000860142
122,RMD_Chronic Traumatic Encephalopathy,PT_Dialectical Behavior Therapy,0.3401710079164649,0.3401710079164649,0.3422979021180855,36,0.6787190246075465,0.3385480166910816,0.0,0.3401710079164649
123,RMD_Chronic Traumatic Encephalopathy,PT_Neuroprotective Agents,0.3372491886318391,0.3372491886318391,0.3452007119012718,36,0.6787190246075465,0.3414698359757072,0.0,0.3372491886318391
124,RMD_Koro,PT_Cognitive Assistive Technologies,0.3371172529333401,0.3371172529333401,0.339706195209747,36,0.3645924597105761,0.0274752067772359,0.0,0.3371172529333401
125,RMD_Chronic Traumatic Encephalopathy,PT_Emdr Therapy,0.3351761826365428,0.3351761826365428,0.3419538458539196,36,0.6787190246075465,0.3435428419710036,0.0,0.3351761826365428
126,RMD_Schizotypal Personality Disorder,PT_Mentalization Based Treatment,0.330394762211157,0.330394762211157,0.3317258969961816,36,0.6605032043836859,0.3301084421725289,0.0,0.330394762211157
127,RMD_Reactive Attachment Disorder,PT_Ketamine Therapy,0.3297717852997104,0.3297717852997104,0.3332721313526803,36,0.7190351047741068,0.3892633194743963,0.0,0.3297717852997104
128,RMD_Reactive Attachment Disorder,PT_Stimulant And Wake Promoting Agents,0.327865870859936,0.327865870859936,0.3332892135022519,36,0.7190351047741068,0.3911692339141706,0.0,0.327865870859936
129,RMD_Kleine Levin Syndrome,PT_Stem Cell Therapy For Neurological Disorders,0.3238572318028075,0.3238572318028075,0.3259572360239043,36,0.4845192931251607,0.1606620613223531,0.0,0.3238572318028075
130,RMD_Cyclothymic Disorder,PT_Selective Serotonin Reuptake Inhibitors,0.3215622379581433,0.3215622379581433,0.3259311605660656,36,0.6502728967536677,0.3287106587955243,0.0,0.3215622379581433
131,RMD_Schizotypal Personality Disorder,PT_Neuroprotective Agents,0.3190333684079787,0.3190333684079787,0.3228841530221843,36,0.6605032043836859,0.3414698359757072,0.0,0.3190333684079787
132,RMD_Dissociative Amnesia,PT_Psilocybin Assisted Therapy,0.3168436727552881,0.3168436727552881,0.4036978239731614,36,0.5210034402949676,0.2041597675396795,0.0,0.3168436727552881
133,RMD_Rumination Disorder,PT_Resting State Fmri,0.315627927784051,0.315627927784051,0.3422908135570315,36,0.5900312013904454,0.2744032736063944,0.0,0.315627927784051
134,RMD_Cyclothymic Disorder,PT_Smart Wearable Mental Health Trackers,0.3128722207228107,0.3128722207228107,0.3371225871941385,36,0.6502728967536677,0.3374006760308569,0.0,0.3128722207228107
