src,dst,weight,uncertainty_corr,amplification_ratio,amplification_ratio_floored,log10_amplification_ratio_floored,src_variance_floored,amplification_floor_applied,src_mean_variance,dst_mean_variance
PT_Antipsychotic Medications,RMD_Walking Corpse,0.3,0.7577325666994351,0.22027018666267395,0.22027018666267395,-0.6570442801714369,0.026238327845931053,0,0.026238327845931053,0.00577952153980732
PT_Antipsychotic Medications,RMD_koro,0.3,0.20629855966816235,0.8197282552719116,0.8197282552719116,-0.0863300949277919,0.026238327845931053,0,0.026238327845931053,0.021508298814296722
PT_Behavioral Activation Therapy,Global_Disaster_Total,0.5,-0.0023487518237193384,0.002649459522217512,0.002649459522217512,-2.576842711141861,0.2881265878677368,0,0.2881265878677368,0.0007633797358721495
PT_Behavioral Activation Therapy,Global_Holidays_Average,0.5,0.002528158115380804,7.2322650339629035e-06,7.2322650339629035e-06,-5.140725667062761,0.2881265878677368,0,0.2881265878677368,2.0838078853557818e-06
PT_Behavioral Activation Therapy,Global_Holidays_Total,0.5,-0.02251270663448703,0.008142801932990551,0.008142801932990551,-2.089226128937412,0.2881265878677368,0,0.2881265878677368,0.002346157794818282
PT_Behavioral Activation Therapy,RMD_Pyromania,0.3,0.24432375920711694,0.05729805678129196,0.05729805678129196,-1.241860106539983,0.2881265878677368,0,0.2881265878677368,0.01650909334421158
PT_Behavioral Activation Therapy,RMD_Reactive Attachment,0.3,-0.23284124887611743,0.06377347558736801,0.06377347558736801,-1.1953599137751187,0.2881265878677368,0,0.2881265878677368,0.018374834209680557
PT_Behavioral Activation Therapy,RMD_Reduplicative Paramnesia,0.3,0.12414198524792212,0.22165223956108093,0.22165223956108093,-0.6543278762567937,0.2881265878677368,0,0.2881265878677368,0.06386390328407288
PT_Behavioral Activation Therapy,RMD_Rumination,0.3,0.6397491743192822,0.24691246449947357,0.24691246449947357,-0.6074569856990759,0.2881265878677368,0,0.2881265878677368,0.0711420476436615
PT_Behavioral Activation Therapy,RMD_Selective Mutism,0.3,0.6110097061279948,0.08115323632955551,0.08115323632955551,-1.0906941561576302,0.2881265878677368,0,0.2881265878677368,0.023382404819130898
PT_Behavioral Activation Therapy,RMD_Stendhal,0.3,0.7267245164288899,0.1300506442785263,0.1300506442785263,-0.8858874919424207,0.2881265878677368,0,0.2881265878677368,0.03747104853391647
PT_Behavioral Activation Therapy,RMD_Walking Corpse,0.3,0.7651962181367695,0.020058967173099518,0.020058967173099518,-1.6976914323610286,0.2881265878677368,0,0.2881265878677368,0.00577952153980732
PT_Behavioral Activation Therapy,RMD_koro,0.3,0.2557487503996044,0.07464878261089325,0.07464878261089325,-1.1269772704531218,0.2881265878677368,0,0.2881265878677368,0.021508298814296722
PT_Benzodiazepines,Global_Disaster_Total,0.5,0.062311512421606124,0.018871165812015533,0.018871165812015533,-1.7242012694118662,0.040452178567647934,0,0.040452178567647934,0.0007633797358721495
PT_Benzodiazepines,Global_Holidays_Average,0.5,0.1929116763066217,5.151287041371688e-05,5.151287041371688e-05,-4.288084249573788,0.040452178567647934,0,0.040452178567647934,2.0838078853557818e-06
PT_Benzodiazepines,Global_Holidays_Total,0.5,0.05308312217795095,0.057998303323984146,0.057998303323984146,-1.2365847110544614,0.040452178567647934,0,0.040452178567647934,0.002346157794818282
PT_Benzodiazepines,RMD_Pyromania,0.3,0.10248154658816544,0.40811383724212646,0.40811383724212646,-0.3892186800710734,0.040452178567647934,0,0.040452178567647934,0.01650909334421158
PT_Benzodiazepines,RMD_Reactive Attachment,0.3,-0.20912456913101482,0.4542359709739685,0.4542359709739685,-0.3427184769482222,0.040452178567647934,0,0.040452178567647934,0.018374834209680557
PT_Benzodiazepines,RMD_Reduplicative Paramnesia,0.3,0.18415245597336136,1.5787506103515625,1.5787506103515625,0.19831353146347544,0.040452178567647934,0,0.040452178567647934,0.06386390328407288
PT_Benzodiazepines,RMD_Rumination,0.3,0.5787519047458985,1.7586703300476074,1.7586703300476074,0.24518443680845825,0.040452178567647934,0,0.040452178567647934,0.0711420476436615
PT_Benzodiazepines,RMD_Selective Mutism,0.3,0.4053064589280056,0.5780258774757385,0.5780258774757385,-0.23805271833838149,0.040452178567647934,0,0.040452178567647934,0.023382404819130898
